month,borough,day_type,trip_type,route_id,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2015-01,Bronx,1,EXP,BXM1,486,532,0.913533835
2015-01,Bronx,1,EXP,BXM10,491,494,0.993927126
2015-01,Bronx,1,EXP,BXM11,454,456,0.995614035
2015-01,Bronx,1,EXP,BXM18,187,201,0.930348259
2015-01,Bronx,1,EXP,BXM2,283,283,1
2015-01,Bronx,1,EXP,BXM3,326,321,1.015576324
2015-01,Bronx,1,EXP,BXM4,168,171,0.98245614
2015-01,Bronx,1,EXP,BXM6,278,285,0.975438596
2015-01,Bronx,1,EXP,BXM7,842,855,0.984795322
2015-01,Bronx,1,EXP,BXM8,605,618,0.978964401
2015-01,Bronx,1,EXP,BXM9,636,650,0.978461538
2015-01,Bronx,2,EXP,BXM1,67,70,0.957142857
2015-01,Bronx,2,EXP,BXM10,75,76,0.986842105
2015-01,Bronx,2,EXP,BXM11,71,75,0.946666667
2015-01,Bronx,2,EXP,BXM18,11,10,1.1
2015-01,Bronx,2,EXP,BXM2,64,72,0.888888889
2015-01,Bronx,2,EXP,BXM3,43,42,1.023809524
2015-01,Bronx,2,EXP,BXM4,40,39,1.025641026
2015-01,Bronx,2,EXP,BXM6,45,45,1
2015-01,Bronx,2,EXP,BXM7,120,124,0.967741935
2015-01,Bronx,2,EXP,BXM8,70,72,0.972222222
2015-01,Bronx,2,EXP,BXM9,82,83,0.987951807
2015-01,Bronx,1,LCL/LTD,BX1,814,843,0.965599051
2015-01,Bronx,1,LCL/LTD,BX10,698,759,0.919631094
2015-01,Bronx,1,LCL/LTD,BX11,990,1041,0.951008646
2015-01,Bronx,1,LCL/LTD,BX12,636,689,0.923076923
2015-01,Bronx,1,LCL/LTD,BX13,1110,1178,0.942275042
2015-01,Bronx,1,LCL/LTD,BX15,1276,1469,0.868618108
2015-01,Bronx,1,LCL/LTD,BX16,615,648,0.949074074
2015-01,Bronx,1,LCL/LTD,BX17,731,761,0.960578187
2015-01,Bronx,1,LCL/LTD,BX18,343,360,0.952777778
2015-01,Bronx,1,LCL/LTD,BX19,793,819,0.968253968
2015-01,Bronx,1,LCL/LTD,BX2,682,700,0.974285714
2015-01,Bronx,1,LCL/LTD,BX20,257,270,0.951851852
2015-01,Bronx,1,LCL/LTD,BX21,768,817,0.94002448
2015-01,Bronx,1,LCL/LTD,BX22,771,818,0.942542787
2015-01,Bronx,1,LCL/LTD,BX23,777,814,0.954545455
2015-01,Bronx,1,LCL/LTD,BX24,178,186,0.956989247
2015-01,Bronx,1,LCL/LTD,BX26,667,698,0.955587393
2015-01,Bronx,1,LCL/LTD,BX27,930,965,0.96373057
2015-01,Bronx,1,LCL/LTD,BX28,485,490,0.989795918
2015-01,Bronx,1,LCL/LTD,BX29,342,353,0.968838527
2015-01,Bronx,1,LCL/LTD,BX3,830,893,0.929451288
2015-01,Bronx,1,LCL/LTD,BX30,750,797,0.941028858
2015-01,Bronx,1,LCL/LTD,BX31,647,648,0.99845679
2015-01,Bronx,1,LCL/LTD,BX32,443,458,0.967248908
2015-01,Bronx,1,LCL/LTD,BX33,322,335,0.96119403
2015-01,Bronx,1,LCL/LTD,BX34,400,408,0.980392157
2015-01,Bronx,1,LCL/LTD,BX35,1000,1017,0.983284169
2015-01,Bronx,1,LCL/LTD,BX36,1412,1467,0.962508521
2015-01,Bronx,1,LCL/LTD,BX38,443,472,0.938559322
2015-01,Bronx,1,LCL/LTD,BX39,707,734,0.963215259
2015-01,Bronx,1,LCL/LTD,BX4,363,371,0.978436658
2015-01,Bronx,1,LCL/LTD,BX40,395,409,0.965770171
2015-01,Bronx,1,LCL/LTD,BX41,469,483,0.971014493
2015-01,Bronx,1,LCL/LTD,BX42,396,427,0.927400468
2015-01,Bronx,1,LCL/LTD,BX46,178,182,0.978021978
2015-01,Bronx,1,LCL/LTD,BX4A,354,371,0.954177898
2015-01,Bronx,1,LCL/LTD,BX5,643,691,0.930535456
2015-01,Bronx,1,LCL/LTD,BX6,1143,1204,0.949335548
2015-01,Bronx,1,LCL/LTD,BX7,704,725,0.971034483
2015-01,Bronx,1,LCL/LTD,BX8,525,541,0.970425139
2015-01,Bronx,1,LCL/LTD,BX9,996,1079,0.923076923
2015-01,Bronx,2,LCL/LTD,BX1,162,179,0.905027933
2015-01,Bronx,2,LCL/LTD,BX10,171,191,0.895287958
2015-01,Bronx,2,LCL/LTD,BX11,232,240,0.966666667
2015-01,Bronx,2,LCL/LTD,BX12,204,228,0.894736842
2015-01,Bronx,2,LCL/LTD,BX13,271,285,0.950877193
2015-01,Bronx,2,LCL/LTD,BX15,360,388,0.927835052
2015-01,Bronx,2,LCL/LTD,BX16,137,140,0.978571429
2015-01,Bronx,2,LCL/LTD,BX17,202,212,0.952830189
2015-01,Bronx,2,LCL/LTD,BX18,75,88,0.852272727
2015-01,Bronx,2,LCL/LTD,BX19,259,290,0.893103448
2015-01,Bronx,2,LCL/LTD,BX2,174,187,0.930481283
2015-01,Bronx,2,LCL/LTD,BX20,15,15,1
2015-01,Bronx,2,LCL/LTD,BX21,190,204,0.931372549
2015-01,Bronx,2,LCL/LTD,BX22,221,239,0.924686192
2015-01,Bronx,2,LCL/LTD,BX23,85,104,0.817307692
2015-01,Bronx,2,LCL/LTD,BX24,84,88,0.954545455
2015-01,Bronx,2,LCL/LTD,BX26,158,165,0.957575758
2015-01,Bronx,2,LCL/LTD,BX27,197,208,0.947115385
2015-01,Bronx,2,LCL/LTD,BX28,134,137,0.97810219
2015-01,Bronx,2,LCL/LTD,BX29,104,117,0.888888889
